decade,performer,chart_weeks,share_of_decade_weeks
1970s,Sami Jo,27,0.000517
1970s,Johnny Wakelin & The Kinshasa Band,27,0.000517
1970s,Travis Wammack,27,0.000517
1970s,Chris Rea,27,0.000517
1970s,The Fuzz,26,0.000498
1970s,The Free Movement,26,0.000498
1970s,The Friends Of Distinction,26,0.000498
1970s,Odyssey,26,0.000498
1970s,The Ides Of March,26,0.000498
1970s,Ike & Tina Turner & The Ikettes,26,0.000498
1970s,Amii Stewart,26,0.000498
1970s,Climax Blues Band,26,0.000498
1970s,Anita Ward,26,0.000498
1970s,Deodato,26,0.000498
1970s,Barbara Mandrell,26,0.000498
1970s,Merle Haggard And The Strangers,26,0.000498
1970s,Jud Strunk,26,0.000498
1970s,"Sammy Davis, Jr. with The Mike Curb Congregation",26,0.000498
1970s,Seals & Crofts (Featuring Carolyn Willis),26,0.000498
1970s,El Chicano,26,0.000498
1970s,Major Harris,26,0.000498
1970s,Sylvia (r&b),26,0.000498
1970s,Keith Hampshire,26,0.000498
1970s,T. Rex,26,0.000498
1970s,King Harvest,26,0.000498
1970s,Lee Michaels,26,0.000498
1970s,Toby Beau,26,0.000498
1970s,Thin Lizzy,25,0.000479
1970s,Blackfoot,25,0.000479
1970s,Boney M.,25,0.000479
1970s,Eric Clapton And His Band,25,0.000479
1970s,Flash Cadillac And The Continental Kids,25,0.000479
1970s,Frijid Pink,25,0.000479
1970s,Brewer And Shipley,25,0.000479
1970s,Michael Nesmith & The First National Band,25,0.000479
1970s,Smokie,25,0.000479
1970s,Carl Douglas,25,0.000479
1970s,Carly Simon & James Taylor,25,0.000479
1970s,The Brotherhood Of Man,25,0.000479
1970s,Deniece Williams,25,0.000479
1970s,Graham Central Station,25,0.000479
1970s,Buddy Miles,25,0.000479
1970s,Bobby Bland,25,0.000479
1970s,Linda Clifford,25,0.000479
1970s,Ten Years After,25,0.000479
1970s,Ashford & Simpson,25,0.000479
1970s,Blue Oyster Cult,24,0.00046
1970s,Rick Nelson And The Stone Canyon Band,24,0.00046
1970s,Little Sister,24,0.00046
1970s,Golden Earring,24,0.00046
1970s,Hurricane Smith,24,0.00046
1970s,David Naughton,24,0.00046
1970s,Labelle,24,0.00046
1970s,Barbara Fairchild,24,0.00046
1970s,O.C. Smith,24,0.00046
1970s,Coven,24,0.00046
1970s,Free,24,0.00046
1970s,Christie,24,0.00046
1970s,Joey Heatherton,24,0.00046
1970s,Mountain,24,0.00046
1970s,The Bells,24,0.00046
1970s,Rickie Lee Jones,24,0.00046
1970s,Focus,24,0.00046
1970s,The Nite-Liters,24,0.00046
1970s,The New Seekers featuring Eve Graham,24,0.00046
1970s,First Class,24,0.00046
1970s,John Travolta & Olivia Newton-John,24,0.00046
1970s,T-Connection,23,0.000441
1970s,Clint Holmes,23,0.000441
1970s,Nazareth,23,0.000441
1970s,The Shocking Blue,23,0.000441
1970s,Chase,23,0.000441
1970s,Mike Post,23,0.000441
1970s,Cate Bros.,23,0.000441
1970s,Eddie Holman,23,0.000441
1970s,Roxy Music,23,0.000441
1970s,Dr. Buzzard's Original Savannah Band,23,0.000441
1970s,Sammi Smith,23,0.000441
1970s,Peter Brown,23,0.000441
1970s,Dave Loggins,23,0.000441
1970s,Petula Clark,23,0.000441
1970s,Blues Brothers,23,0.000441
1970s,The Captain & Tennille,23,0.000441
1970s,Head East,23,0.000441
1970s,"Bobby ""Boris"" Pickett And The Crypt-Kickers",23,0.000441
1970s,Rick Derringer,23,0.000441
1970s,The Marmalade,23,0.000441
1970s,Livingston Taylor,22,0.000422
1970s,Latimore,22,0.000422
1970s,Waylon & Willie,22,0.000422
1970s,Eruption,22,0.000422
1970s,MFSB Featuring The Three Degrees,22,0.000422
1970s,Willie Hutch,22,0.000422
1970s,Minnie Riperton,22,0.000422
1970s,The Sandpipers,22,0.000422
1970s,Suzi Quatro & Chris Norman,22,0.000422
1970s,Gallagher And Lyle,22,0.000422
1970s,April Wine,22,0.000422
1970s,Mouth & MacNeal,22,0.000422
1970s,Gary Toms Empire,22,0.000422
1970s,Johnny Mathis,22,0.000422
1970s,The Presidents,22,0.000422
1970s,Dire Straits,22,0.000422
1970s,The 5 Stairsteps,22,0.000422
1970s,Peter Mccann,22,0.000422
1970s,Phoebe Snow,22,0.000422
1970s,Uriah Heep,22,0.000422
1970s,Dean Friedman,22,0.000422
1970s,Wednesday,22,0.000422
1970s,The Archies,22,0.000422
1970s,Dusk,22,0.000422
1970s,Dave Edmunds,22,0.000422
1970s,Rockets,22,0.000422
1970s,Brook Benton,21,0.000402
1970s,Ace Frehley,21,0.000402
1970s,Tommy James And The Shondells,21,0.000402
1970s,M,21,0.000402
1970s,REO Speedwagon,21,0.000402
1970s,Triumph,21,0.000402
1970s,Jim Weatherly,21,0.000402
1970s,Claudja Barry,21,0.000402
1970s,Silver,21,0.000402
1970s,Chilliwack,21,0.000402
1970s,The Tymes,21,0.000402
1970s,Mary Hopkin,21,0.000402
1970s,Skylark,21,0.000402
1970s,Patti Smith Group,21,0.000402
1970s,Genesis,21,0.000402
1970s,David Geddes,21,0.000402
1970s,The Elton John Band,21,0.000402
1970s,Jean Knight,21,0.000402
1970s,Jerry Butler & Brenda Lee Eager,21,0.000402
1970s,Jerry Wallace,21,0.000402
1970s,The James Gang,21,0.000402
1970s,Prelude,21,0.000402
1970s,Bonnie Tyler,21,0.000402
1970s,The Wing And A Prayer Fife & Drum Corps.,20,0.000383
1970s,Timmy Thomas,20,0.000383
1970s,Jim Gilstrap,20,0.000383
1970s,Gary Glitter,20,0.000383
1970s,The Meters,20,0.000383
1970s,Sammy Hagar,20,0.000383
1970s,Slade,20,0.000383
1970s,Elton John & Kiki Dee,20,0.000383
1970s,Matthews' Southern Comfort,20,0.000383
1970s,The Soul Children,20,0.000383
1970s,Mandrill,20,0.000383
1970s,Tony Camillo's Bazuka,20,0.000383
1970s,Spyro Gyra,20,0.000383
1970s,Merle Haggard,20,0.000383
1970s,Janis Ian,20,0.000383
1970s,David Dundas,20,0.000383
1970s,The Kiki Dee Band,20,0.000383
1970s,Dan Hartman,20,0.000383
1970s,Hudson and Landry,20,0.000383
1970s,Robin McNamara,20,0.000383
1970s,Roberta Flack With Donny Hathaway,20,0.000383
1970s,The Gentrys,20,0.000383
1970s,Henry Mancini And His Orchestra,20,0.000383
1970s,Randy VanWarmer,20,0.000383
1970s,Bill Conti,20,0.000383
1970s,Randy Newman,20,0.000383
1970s,The Buoys,20,0.000383
1970s,Booker T. & The MG's,20,0.000383
1970s,Ace,20,0.000383
1970s,Bobby Caldwell,20,0.000383
1970s,Stonebolt,19,0.000364
1970s,Keith Carradine,19,0.000364
1970s,LTD,19,0.000364
1970s,People's Choice,19,0.000364
1970s,Pete Wingfield,19,0.000364
1970s,Blues Image,19,0.000364
1970s,The Assembled Multitude,19,0.000364
1970s,R.B. Greaves,19,0.000364
1970s,Prism,19,0.000364
1970s,Ramones,19,0.000364
1970s,Van McCoy & The Soul City Symphony,19,0.000364
1970s,Carl Carlton,19,0.000364
1970s,Syl Johnson,19,0.000364
1970s,Roger Voudouris,19,0.000364
1970s,Hotel,19,0.000364
1970s,Donovan,19,0.000364
1970s,Dionne Warwicke & Spinners,19,0.000364
1970s,The Police,19,0.000364
1970s,"Bobby ""Blue"" Bland",19,0.000364
1970s,Santa Esmeralda Starring Leroy Gomez,19,0.000364
1970s,Jackie Wilson,19,0.000364
1970s,Chris Thompson & Night,19,0.000364
1970s,Norman Connors,19,0.000364
