decade,performer,chart_weeks,share_of_decade_weeks
1990s,Billy Lawrence,11,0.000211
1990s,Daisy Dee,11,0.000211
1990s,Urge Overkill,11,0.000211
1990s,The Fixx,11,0.000211
1990s,Bob Seger & The Silver Bullet Band,11,0.000211
1990s,Titiyo,11,0.000211
1990s,Dana,11,0.000211
1990s,RAab,11,0.000211
1990s,The Badlees,11,0.000211
1990s,Denine With Collage's Adam Marano,11,0.000211
1990s,G-Wiz,11,0.000211
1990s,Chris Cuevas,11,0.000211
1990s,Foo Fighters,11,0.000211
1990s,Clint Black With Wynonna,11,0.000211
1990s,Sandee,11,0.000211
1990s,The Whispers,11,0.000211
1990s,Mos Def & Kweli Are Black Star,10,0.000192
1990s,Ol' Dirty Bastard Featuring Kelis,10,0.000192
1990s,Too Short Featuring Parliament Funkadelic,10,0.000192
1990s,Brandon,10,0.000192
1990s,Elton John & LeAnn Rimes,10,0.000192
1990s,Fat Joe,10,0.000192
1990s,Eminem,10,0.000192
1990s,The Kenny Wayne Shepherd Band,10,0.000192
1990s,Perfect Stranger,10,0.000192
1990s,Queen Latifah Featuring Apache,10,0.000192
1990s,Happy Mondays,10,0.000192
1990s,Goodfellaz,10,0.000192
1990s,Goddess,10,0.000192
1990s,The Rebel Pebbles,10,0.000192
1990s,"Gerald Levert & Eddie Levert, Sr.",10,0.000192
1990s,Apache,10,0.000192
1990s,Caron Wheeler,10,0.000192
1990s,Gene Loves Jezebel,10,0.000192
1990s,A Few Good Men,10,0.000192
1990s,Garth Brooks as Chris Gaines,10,0.000192
1990s,Chico DeBarge,10,0.000192
1990s,Modern English,10,0.000192
1990s,Midnight Oil,10,0.000192
1990s,Anything Box,10,0.000192
1990s,Youngstown,10,0.000192
1990s,Reality,10,0.000192
1990s,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor",10,0.000192
1990s,McAuley Schenker Group,10,0.000192
1990s,BLACKstreet With Special Guests Ol' Dirty Bastard & Slash,10,0.000192
1990s,David Hallyday,10,0.000192
1990s,Robbie Williams,10,0.000192
1990s,Robert Plant,10,0.000192
1990s,Henry Lee Summer,10,0.000192
1990s,DMX,10,0.000192
1990s,DMX Featuring Faith Evans,10,0.000192
1990s,Colourhaus,10,0.000192
1990s,MC Serch,10,0.000192
1990s,Lysette,10,0.000192
1990s,Love Spit Love,10,0.000192
1990s,Joan Jett,10,0.000192
1990s,Shaggy (Featuring Marsha),10,0.000192
1990s,Sherrie Austin,10,0.000192
1990s,Jeff Foxworthy,10,0.000192
1990s,Daryl Braithwaite,10,0.000192
1990s,Jeff Foxworthy With Alan Jackson,10,0.000192
1990s,Rosco Martinez,10,0.000192
1990s,Juvenile,10,0.000192
1990s,Kim Sanders,10,0.000192
1990s,Cartouche,10,0.000192
1990s,The La's,10,0.000192
1990s,WC & The Maad Circle,10,0.000192
1990s,Willie Max Featuring Raphael Saadiq,10,0.000192
1990s,Boston,10,0.000192
1990s,En Vogue Featuring FMOB,10,0.000192
1990s,"Earth, Wind & Fire",10,0.000192
1990s,The Tuesdays,10,0.000192
1990s,Tre,10,0.000192
1990s,Planet Soul Featuring Brenda Dee,10,0.000192
1990s,Porno For Pyros,10,0.000192
1990s,Whitehead Bros.,10,0.000192
1990s,Peter Cetera Featuring Az Yet,10,0.000192
1990s,Yvonne,9,0.000173
1990s,Buffy,9,0.000173
1990s,Peter Murphy,9,0.000173
1990s,Portishead,9,0.000173
1990s,The London Quireboys,9,0.000173
1990s,Will Smith Featuring K-Ci,9,0.000173
1990s,49-ers,9,0.000173
1990s,Edwyn Collins,9,0.000173
1990s,Nastyboy Klick,9,0.000173
1990s,Doug Stone,9,0.000173
1990s,Queen Pen Featuring Teddy Riley,9,0.000173
1990s,D-Mob With Cathy Dennis,9,0.000173
1990s,Jordy,9,0.000173
1990s,Laura Branigan,9,0.000173
1990s,Shae Jones,9,0.000173
1990s,Michael Cooper,9,0.000173
1990s,Souls Of Mischief,9,0.000173
1990s,Da Youngsta's,9,0.000173
1990s,House Of Lords,9,0.000173
1990s,B.G. The Prince Of Rap,9,0.000173
1990s,Jewell,9,0.000173
1990s,Jagged Edge Featuring Da Brat & JD,9,0.000173
1990s,Chaka Khan,9,0.000173
1990s,Little Caesar,9,0.000173
1990s,Bonham,9,0.000173
1990s,Ephraim Lewis,9,0.000173
1990s,Neal McCoy,9,0.000173
1990s,Twinz,9,0.000173
1990s,George Michael & Queen,9,0.000173
1990s,Chef Raekwon,9,0.000173
1990s,Devone,9,0.000173
1990s,Geoffrey Williams,9,0.000173
1990s,Quincy Jones Featuring Ray Charles & Chaka Khan,9,0.000173
1990s,Master P,9,0.000173
1990s,Tha Alkaholiks Featuring Ol' Dirty Bastard,9,0.000173
1990s,Quincy Jones Feat. Babyface & Tamia With Portrai,9,0.000173
1990s,Sole Featuring JT Money & Kandi,9,0.000173
1990s,Mindy McCready,9,0.000173
1990s,Vaughan Brothers,9,0.000173
1990s,Snoop Dogg Featuring Xzibit & Nate Dogg,9,0.000173
1990s,Ms. Adventures,9,0.000173
1990s,D'zyre,9,0.000173
1990s,Rage Against The Machine,9,0.000173
1990s,Tricia Leigh Fisher,8,0.000154
1990s,Tag,8,0.000154
1990s,Sweetbox,8,0.000154
1990s,The Brand New Heavies Featuring N'Dea Davenport,8,0.000154
1990s,Raphael Saadiq & Q-Tip,8,0.000154
1990s,Counting Crows,8,0.000154
1990s,Lonnie Gordon,8,0.000154
1990s,Ice-T,8,0.000154
1990s,Alpha Team,8,0.000154
1990s,Jennifer Love Hewitt,8,0.000154
1990s,Heltah Skeltah And O.G.C. As The Fab 5,8,0.000154
1990s,Jellyfish,8,0.000154
1990s,Alisha,8,0.000154
1990s,Wade Hayes,8,0.000154
1990s,Terence Trent D'Arby,8,0.000154
1990s,Kinsu,8,0.000154
1990s,Lidell Townsell & M.T.F.,8,0.000154
1990s,The Steve Miller Band,8,0.000154
1990s,Jermaine Jackson,8,0.000154
1990s,Jamiroquai,8,0.000154
1990s,Voices,8,0.000154
1990s,Joey B. Ellis & Tynetta Hare,8,0.000154
1990s,Deep Forest,8,0.000154
1990s,John Farnham,8,0.000154
1990s,John Waite,8,0.000154
1990s,Tela Featuring Eightball & MJG,8,0.000154
1990s,Kevon Edmonds,8,0.000154
1990s,Wyclef Jean Featuring Queen Pen & The Product,8,0.000154
1990s,Edie Brickell,8,0.000154
1990s,Nas Featuring Puff Daddy,8,0.000154
1990s,CRU Featuring Slick Rick,8,0.000154
1990s,Stardust,8,0.000154
1990s,The Braxtons,8,0.000154
1990s,Ex-Girlfriend,8,0.000154
1990s,B Angie B,8,0.000154
1990s,Or-N-More (Featuring Father M.C.),8,0.000154
1990s,Fruit De La Passion,8,0.000154
1990s,The B.C. 52's,8,0.000154
1990s,Raven-Symone,8,0.000154
1990s,I To I,8,0.000154
1990s,Peter Cetera & Crystal Bernard,8,0.000154
1990s,Peter Cetera (Duet With Chaka Khan),8,0.000154
1990s,MC Eiht,8,0.000154
1990s,Ana,7,0.000134
1990s,Poco,7,0.000134
1990s,Pink Floyd,7,0.000134
1990s,WC Featuring Jon B.,7,0.000134
1990s,Bounty Killer Featuring Mobb Deep & Rappin' Noyd,7,0.000134
1990s,Jimmy Ryser,7,0.000134
1990s,"Joyce ""Fenderella"" Irby",7,0.000134
1990s,Entouch Featuring Keith Sweat,7,0.000134
1990s,LaTanya Featuring Twista,7,0.000134
1990s,Boyz II Men Featuring Brian McKnight,7,0.000134
1990s,Rusted Root,7,0.000134
1990s,Richie Sambora,7,0.000134
1990s,Scarface Feat. Ice Cube,7,0.000134
1990s,Tene Williams,7,0.000134
1990s,Shane Minor,7,0.000134
1990s,"Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One",7,0.000134
1990s,The Murmurs,7,0.000134
1990s,Baz Luhrmann,7,0.000134
1990s,Marcia Griffiths,7,0.000134
1990s,To Be Continued...,7,0.000134
1990s,Tone-Loc,7,0.000134
1990s,Sister 7,7,0.000134
1990s,Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday,7,0.000134
1990s,Ruffneck Featuring Yavahn,7,0.000134
1990s,Hi Tek 3 Featuring Ya Kid K,7,0.000134
1990s,Intonation Featuring Joee,7,0.000134
1990s,Sofia Shinas,7,0.000134
1990s,Grayson Hugh & Betty Wright,7,0.000134
1990s,Gravediggaz,7,0.000134
1990s,Howard Hewett,7,0.000134
1990s,Mia X Featuring Charlie Wilson,7,0.000134
1990s,Michael Peterson,7,0.000134
1990s,Bad Boys Blue,7,0.000134
1990s,Trilogy,7,0.000134
1990s,Genius/GZA,7,0.000134
1990s,Geto Boys Featuring Flaj,7,0.000134
1990s,Deryl Dodd,7,0.000134
1990s,Qkumba Zoo,7,0.000134
1990s,Monie Love,7,0.000134
1990s,Favorite Angel,7,0.000134
1990s,Doctor Dre & Ed Lover,7,0.000134
1990s,Sublime,7,0.000134
1990s,Asia,7,0.000134
1990s,Pebbles (With Salt-N-Pepa),7,0.000134
1990s,Patra Duet With Aaron Hall,7,0.000134
1990s,Pat & Mick,7,0.000134
1990s,"Trapp Featuring 2pac, Notorious B.I.G.",7,0.000134
1990s,Erin Cruise,7,0.000134
1990s,Everything,7,0.000134
1990s,TKA Featuring Michelle Visage,7,0.000134
1990s,Aimee Mann,6,0.000115
1990s,Teddy Pendergrass,6,0.000115
1990s,Tanya Blount,6,0.000115
1990s,Saraya,6,0.000115
1990s,Chucklebutt,6,0.000115
1990s,Sisqo Featuring Make It Hot,6,0.000115
1990s,Starship,6,0.000115
1990s,Shyheim,6,0.000115
1990s,Simple E,6,0.000115
1990s,Nona Gaye,6,0.000115
1990s,"Missy ""Misdemeanor"" Elliott",6,0.000115
1990s,Mike + The Mechanics,6,0.000115
1990s,Michael Morales,6,0.000115
1990s,Baby Talk,6,0.000115
1990s,MeShell Ndegeocello,6,0.000115
1990s,Crowded House,6,0.000115
1990s,Andrew Ridgeley,6,0.000115
1990s,REO Speedwagon,6,0.000115
1990s,Cut 'N' Move,6,0.000115
1990s,Rebekah,6,0.000115
1990s,Reel 2 Real Featuring The Mad Stuntman,6,0.000115
1990s,Remedy,6,0.000115
1990s,SF Spanish Fly,6,0.000115
1990s,Bingo Boys,6,0.000115
1990s,Blondie,6,0.000115
1990s,Electric Boys,6,0.000115
1990s,Fiona (Duet With Kip Winger),6,0.000115
1990s,East Coast Family,6,0.000115
1990s,EOL,6,0.000115
1990s,The Simpsons Featuring Bart & Homer,6,0.000115
1990s,Inner City,6,0.000115
1990s,KIX,6,0.000115
1990s,Kingofthehill,6,0.000115
1990s,Juliana Hatfield,6,0.000115
1990s,Kate Bush,6,0.000115
1990s,BeBe & CeCe Winans Featuring Mavis Staples,6,0.000115
1990s,Daryle Singletary,6,0.000115
1990s,Nyasia,6,0.000115
1990s,Oaktown's 3.5.7,6,0.000115
1990s,Mic Geronimo Featuring DMX & Black Rob,6,0.000115
1990s,MC Nas-D & DJ Fred,6,0.000115
1990s,Gorky Park,6,0.000115
1990s,Grandmaster Slice,6,0.000115
1990s,Erykah Badu Featuring Rahzel,6,0.000115
1990s,Foxy Brown,6,0.000115
1990s,Lorrie Morgan,6,0.000115
1990s,M2M,6,0.000115
1990s,Yes,5,9.6e-05
1990s,Toby Keith With Sting,5,9.6e-05
1990s,4 The Cause,5,9.6e-05
1990s,Tasha Holiday,5,9.6e-05
1990s,Skin Deep Featuring Li'l Kim Of Junior M.A.F.I.A.,5,9.6e-05
1990s,Smif-N-Wessun,5,9.6e-05
1990s,Bjork,5,9.6e-05
1990s,Insane Clown Posse,5,9.6e-05
1990s,2 Hyped Brothers & A Dog,5,9.6e-05
1990s,Ziggy Marley And The Melody Makers,5,9.6e-05
1990s,Bounty Killa featuring the Fugees,5,9.6e-05
1990s,Funkdoobiest,5,9.6e-05
1990s,Garth Brooks,5,9.6e-05
1990s,Ivory,5,9.6e-05
1990s,Nathan Morris,5,9.6e-05
1990s,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",5,9.6e-05
1990s,Beth Hart,5,9.6e-05
1990s,Jesse Jaymes,5,9.6e-05
1990s,Big Bub Featuring Queen Latifah & Heavy D,5,9.6e-05
1990s,Vybe,5,9.6e-05
1990s,Mick Jagger,5,9.6e-05
1990s,Mona Lisa,5,9.6e-05
1990s,Around The Way,5,9.6e-05
1990s,Notorious,5,9.6e-05
1990s,Mag 7,5,9.6e-05
1990s,M:G,5,9.6e-05
1990s,PRINCE BE & Ky-Mani,5,9.6e-05
1990s,The Chimes,5,9.6e-05
1990s,Phajja,5,9.6e-05
1990s,Cyndi Lauper,5,9.6e-05
1990s,Paul Simon,5,9.6e-05
1990s,The Chemical Brothers,5,9.6e-05
1990s,The 4 Of Us,5,9.6e-05
1990s,Quincy Jones With Tevin Campbell,5,9.6e-05
1990s,Sammy Kershaw,5,9.6e-05
1990s,Pharoahe Monch,5,9.6e-05
1990s,"Tragedy, Capone, Infinite",5,9.6e-05
1990s,Andrea Martin,5,9.6e-05
1990s,Samantha Cole,5,9.6e-05
1990s,Sammy Kershaw & Lorrie Morgan,5,9.6e-05
1990s,The Northern Pikes,5,9.6e-05
1990s,Jellybean Featuring Niki Haris,5,9.6e-05
1990s,Kid Rock,5,9.6e-05
1990s,De La Soul,5,9.6e-05
1990s,Johnny O,5,9.6e-05
1990s,"Kirk Franklin Featuring Mary J. Blige, Bono, R. Kelly, Crystal Lewis & The Family",5,9.6e-05
1990s,King Just,5,9.6e-05
1990s,Love Tribe,5,9.6e-05
1990s,Gyrl,5,9.6e-05
1990s,Group Home,5,9.6e-05
1990s,Dr. Dre Featuring Snoop Dogg,4,7.7e-05
1990s,Clubland Featuring Zemya Hamilton,4,7.7e-05
1990s,Charm Farm,4,7.7e-05
1990s,Abstrac',4,7.7e-05
1990s,Subway,4,7.7e-05
1990s,Special Generation,4,7.7e-05
1990s,All City,4,7.7e-05
1990s,"Timbaland Featuring Missy ""Misdemeanor"" Elliott & Magoo",4,7.7e-05
1990s,Spacemonkeyz,4,7.7e-05
1990s,"Queen Pen Featuring Teddy Riley, Nutta Butta, Markell & Jesse Wes",4,7.7e-05
1990s,Peter Wolf,4,7.7e-05
1990s,The Commitments,4,7.7e-05
1990s,Rufus Blaq,4,7.7e-05
1990s,Rayvon,4,7.7e-05
1990s,QT,4,7.7e-05
1990s,Quincy Jones Introducing Tamia,4,7.7e-05
1990s,Rapination & Kym Mazelle,4,7.7e-05
1990s,The Flavor Unit MC's,4,7.7e-05
1990s,Arthur Baker Featuring Nikeeta,4,7.7e-05
1990s,Brooklyn Bounce,4,7.7e-05
1990s,Peggy Scott-Adams,4,7.7e-05
1990s,Patty Loveless,4,7.7e-05
1990s,MC Luscious Featuring Kinsui,4,7.7e-05
1990s,MC Ren,4,7.7e-05
1990s,Mack 10 Featuring Gerald Levert,4,7.7e-05
1990s,MC Skat Kat & The Stray Mob,4,7.7e-05
1990s,Mantronix Featuring Wondress,4,7.7e-05
1990s,Mercedes Featuring Master P,4,7.7e-05
1990s,BRAVO All Stars,4,7.7e-05
1990s,Damage,4,7.7e-05
1990s,Troy Newman,4,7.7e-05
1990s,Me Phi Me,4,7.7e-05
1990s,Miki Howard,4,7.7e-05
1990s,Limp Bizkit Featuring Method Man,4,7.7e-05
1990s,L.F.O. (Lyte Funky Ones) (Featuring Kayo),4,7.7e-05
1990s,Lil' Wayne Featuring Juvenile & B.G.,4,7.7e-05
1990s,The Knack,4,7.7e-05
1990s,Kelis,4,7.7e-05
1990s,Ice Cube Featuring Mack 10 & Ms. Toi,4,7.7e-05
1990s,Jeru The Damaja,4,7.7e-05
1990s,Belly,4,7.7e-05
1990s,Jimmy Somerville,4,7.7e-05
1990s,Betty Boo,4,7.7e-05
1990s,Yasmin,4,7.7e-05
1990s,Youssou N'Dour & Neneh Cherry,4,7.7e-05
1990s,Glenn Medeiros (Featuring The Stylistics),4,7.7e-05
1990s,The Peace Choir,4,7.7e-05
1990s,Fred Schneider,4,7.7e-05
1990s,Blair,4,7.7e-05
1990s,Freedom Williams,4,7.7e-05
1990s,Eric B. & Rakim,4,7.7e-05
1990s,Bonnie Raitt With Bryan Adams,4,7.7e-05
1990s,Brady Seals,4,7.7e-05
1990s,1 Of The Girls,4,7.7e-05
1990s,Xymox,3,5.8e-05
1990s,69 Boyz Featuring Quad City DJ's,3,5.8e-05
1990s,The Sounds Of Blackness,3,5.8e-05
1990s,The Rentals,3,5.8e-05
1990s,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,3,5.8e-05
1990s,Charm,3,5.8e-05
1990s,The Jeff Healey Band,3,5.8e-05
1990s,Sweet Sable,3,5.8e-05
1990s,The Beatnuts Featuring Big Punisher & Cuban Link,3,5.8e-05
1990s,The Brian Setzer Orchestra,3,5.8e-05
1990s,Club 69 Featuring Suzanne Palmer,3,5.8e-05
1990s,Rell Featuring Jay-Z,3,5.8e-05
1990s,Too Short & Lil' Kim,3,5.8e-05
1990s,Christopher Max,3,5.8e-05
1990s,Smokey Robinson,3,5.8e-05
1990s,Sass Jordan,3,5.8e-05
1990s,Clive Griffin,3,5.8e-05
1990s,Slick Rick,3,5.8e-05
1990s,Eiffel 65,3,5.8e-05
1990s,Bruce Hornsby & The Range With Shawn Colvin,3,5.8e-05
1990s,Fine Young Cannibals,3,5.8e-05
1990s,Forest For The Trees,3,5.8e-05
1990s,Gary Moore,3,5.8e-05
1990s,Bobby Ross Avila,3,5.8e-05
1990s,Genius/GZA Featuring Inspektah Deck,3,5.8e-05
1990s,Denise Lopez,3,5.8e-05
1990s,Daze,3,5.8e-05
1990s,Master P Featuring D.I.G.,3,5.8e-05
1990s,Darlene Love,3,5.8e-05
1990s,Mariah Carey Featuring Joe & 98 Degrees,3,5.8e-05
1990s,Beenie Man Featuring Chevelle Franklyn,3,5.8e-05
1990s,K5,3,5.8e-05
1990s,Das EFX (Featuring Mobb Deep),3,5.8e-05
1990s,Loverboy,3,5.8e-05
1990s,D'Angelo Featuring Method Man And Redman,3,5.8e-05
1990s,Mulberry Lane,3,5.8e-05
1990s,Midi Maxi & Efti,3,5.8e-05
1990s,O.C. Featuring Yvette Michele,3,5.8e-05
1990s,PMD,3,5.8e-05
1990s,Paul Carrack,3,5.8e-05
1990s,Prince With Sheena Easton,3,5.8e-05
1990s,Pretty In Pink,3,5.8e-05
1990s,Jay-Z Featuring Big Jaz,3,5.8e-05
1990s,Biscuit,3,5.8e-05
1990s,Leschea,2,3.8e-05
1990s,Bang,2,3.8e-05
1990s,Daryl Hall,2,3.8e-05
1990s,Method Man Featuring D'Angelo,2,3.8e-05
1990s,M.C. Breed,2,3.8e-05
1990s,Crooklyn Dodgers '95,2,3.8e-05
1990s,Diving For Pearls,2,3.8e-05
1990s,Big Sister,2,3.8e-05
1990s,Cam'ron,2,3.8e-05
1990s,Chubb Rock,2,3.8e-05
1990s,Toby Keith,2,3.8e-05
1990s,Sadat X,2,3.8e-05
1990s,Sharon Bryant,2,3.8e-05
1990s,Reiss Featuring Special Guest Michie Mee,2,3.8e-05
1990s,The Juliana Hatfield 3,2,3.8e-05
1990s,T.P.E.,2,3.8e-05
1990s,Adam Sandler,2,3.8e-05
1990s,Southsyde B.O.I.Z.,2,3.8e-05
1990s,St. Etienne,2,3.8e-05
1990s,2Pac Duet With Mopreme,2,3.8e-05
1990s,The Jesus And Mary Chain,2,3.8e-05
1990s,Redman Featuring K-Solo,2,3.8e-05
1990s,Sons Of Funk,2,3.8e-05
1990s,Shabba Ranks Featuring Patra And Terri & Monica,2,3.8e-05
1990s,Darden Smith,2,3.8e-05
1990s,Mocca Soul,2,3.8e-05
1990s,Natalie Imbruglia,2,3.8e-05
1990s,Twista,2,3.8e-05
1990s,Michael McDonald,2,3.8e-05
1990s,Nicole Renee,2,3.8e-05
1990s,E-40,2,3.8e-05
1990s,Dionne Warwick And The Hip-Hop Nation United,2,3.8e-05
1990s,Heather B.,2,3.8e-05
1990s,Dina Carroll,2,3.8e-05
1990s,Illegal,2,3.8e-05
1990s,Home Team,2,3.8e-05
1990s,Innerlude,2,3.8e-05
1990s,Lil Louis,2,3.8e-05
1990s,Martha Wash,2,3.8e-05
1990s,New Born,2,3.8e-05
1990s,One 2 One,2,3.8e-05
1990s,Jinny,2,3.8e-05
1990s,Jeff Carson,2,3.8e-05
1990s,Jamie Foxx,2,3.8e-05
1990s,Jay-Z Featuring Babyface And Foxy Brown,2,3.8e-05
1990s,Degrees Of Motion,2,3.8e-05
1990s,Emilia,2,3.8e-05
1990s,Elvis Crespo,2,3.8e-05
1990s,Fabu,2,3.8e-05
1990s,Elton John & RuPaul,2,3.8e-05
1990s,Indigo Girls,2,3.8e-05
1990s,Terry Dexter,1,1.9e-05
1990s,The Tractors,1,1.9e-05
1990s,"Tag Team, Mickey, Minnie, And Goofy",1,1.9e-05
1990s,Angie Stone,1,1.9e-05
1990s,Reel Tight,1,1.9e-05
1990s,Chunky A,1,1.9e-05
1990s,Super Cat,1,1.9e-05
1990s,Utah Saints,1,1.9e-05
1990s,J-Shin Featuring LaTocha Scott,1,1.9e-05
1990s,Hooters,1,1.9e-05
1990s,Elmo & Patsy,1,1.9e-05
2000s,Rascal Flatts,454,0.008697
2000s,Toby Keith,433,0.008295
2000s,Kenny Chesney,413,0.007912
2000s,Tim McGraw,404,0.007739
2000s,Keith Urban,381,0.007299
2000s,Nickelback,378,0.007241
2000s,George Strait,368,0.00705
2000s,Brad Paisley,358,0.006858
2000s,P!nk,345,0.006609
2000s,Kelly Clarkson,321,0.006149
2000s,Alan Jackson,301,0.005766
2000s,Taylor Swift,299,0.005728
2000s,Beyonce,277,0.005307
2000s,Linkin Park,273,0.00523
2000s,Brooks & Dunn,272,0.005211
2000s,Alicia Keys,271,0.005192
2000s,Britney Spears,269,0.005153
2000s,Montgomery Gentry,268,0.005134
2000s,3 Doors Down,267,0.005115
2000s,Lonestar,247,0.004732
2000s,The Black Eyed Peas,244,0.004674
2000s,Carrie Underwood,244,0.004674
2000s,Rihanna,234,0.004483
2000s,Faith Hill,228,0.004368
2000s,Destiny's Child,222,0.004253
2000s,T.I.,218,0.004176
2000s,matchbox twenty,218,0.004176
2000s,Eminem,218,0.004176
2000s,Avril Lavigne,212,0.004061
2000s,Dierks Bentley,208,0.003985
2000s,R. Kelly,208,0.003985
2000s,Usher,206,0.003946
2000s,Christina Aguilera,202,0.00387
2000s,Ne-Yo,201,0.003851
2000s,Lifehouse,194,0.003716
2000s,Maroon 5,194,0.003716
2000s,John Mayer,191,0.003659
2000s,Mariah Carey,190,0.00364
2000s,50 Cent,186,0.003563
2000s,JAY-Z,185,0.003544
2000s,Chris Brown,183,0.003506
2000s,Sugarland,182,0.003487
2000s,Dixie Chicks,181,0.003467
2000s,Justin Timberlake,180,0.003448
2000s,Martina McBride,179,0.003429
2000s,Gary Allan,174,0.003333
2000s,The Fray,173,0.003314
2000s,Mary J. Blige,172,0.003295
2000s,Aaliyah,171,0.003276
2000s,Fall Out Boy,164,0.003142
2000s,Kanye West,164,0.003142
2000s,Red Hot Chili Peppers,160,0.003065
2000s,Trace Adkins,160,0.003065
2000s,Sean Paul,159,0.003046
2000s,Daughtry,158,0.003027
2000s,Green Day,156,0.002989
2000s,Ashanti,155,0.002969
2000s,Creed,153,0.002931
2000s,The All-American Rejects,150,0.002874
2000s,Phil Vassar,145,0.002778
2000s,Staind,144,0.002759
2000s,Blake Shelton,143,0.002739
2000s,Sara Evans,140,0.002682
2000s,LeAnn Rimes,140,0.002682
2000s,Nelly,137,0.002625
2000s,Rob Thomas,136,0.002605
2000s,Coldplay,136,0.002605
2000s,Backstreet Boys,135,0.002586
2000s,Puddle Of Mudd,134,0.002567
2000s,Gwen Stefani,133,0.002548
2000s,Jason Aldean,131,0.00251
2000s,The Killers,128,0.002452
2000s,Foo Fighters,125,0.002395
2000s,Ginuwine,124,0.002375
2000s,Joe Nichols,122,0.002337
2000s,Train,122,0.002337
2000s,Fergie,121,0.002318
2000s,Goo Goo Dolls,119,0.00228
2000s,Rodney Atkins,119,0.00228
2000s,Three Days Grace,118,0.002261
2000s,Billy Currington,117,0.002241
2000s,Madonna,117,0.002241
2000s,Craig Morgan,117,0.002241
2000s,Jagged Edge,116,0.002222
2000s,Jessica Simpson,114,0.002184
2000s,'N Sync,113,0.002165
2000s,Natasha Bedingfield,113,0.002165
2000s,Ludacris,113,0.002165
2000s,Miley Cyrus,112,0.002146
2000s,Chris Cagle,112,0.002146
2000s,Mario,112,0.002146
2000s,Joe,111,0.002126
2000s,Jason Mraz,109,0.002088
2000s,Akon,109,0.002088
2000s,Enrique Iglesias,108,0.002069
2000s,Michelle Branch,107,0.00205
2000s,Avant,107,0.00205
2000s,Papa Roach,106,0.002031
2000s,Jonas Brothers,106,0.002031
2000s,Darryl Worley,104,0.001992
2000s,Nelly Furtado,104,0.001992
2000s,Audioslave,103,0.001973
2000s,Colbie Caillat,103,0.001973
2000s,Musiq,101,0.001935
2000s,Katy Perry,100,0.001916
2000s,OutKast,99,0.001897
2000s,Jennifer Lopez,98,0.001877
2000s,Bon Jovi,95,0.00182
2000s,Sean Kingston,95,0.00182
2000s,Lee Ann Womack,94,0.001801
2000s,Jo Dee Messina,92,0.001762
2000s,Incubus,91,0.001743
2000s,Marc Anthony,90,0.001724
2000s,Lenny Kravitz,89,0.001705
2000s,System Of A Down,88,0.001686
2000s,Keyshia Cole,88,0.001686
2000s,Sheryl Crow,87,0.001667
2000s,Simple Plan,87,0.001667
2000s,Leona Lewis,86,0.001648
2000s,Lady Gaga,86,0.001648
2000s,Fantasia,85,0.001628
2000s,Josh Turner,85,0.001628
2000s,Lil Wayne,84,0.001609
2000s,Janet,83,0.00159
2000s,Weezer,82,0.001571
2000s,Shakira,82,0.001571
2000s,Jordin Sparks,81,0.001552
2000s,Paramore,80,0.001533
2000s,Monica,80,0.001533
2000s,Dido,80,0.001533
2000s,U2,79,0.001513
2000s,Whitney Houston,79,0.001513
2000s,Finger Eleven,79,0.001513
2000s,The-Dream,79,0.001513
2000s,Good Charlotte,78,0.001494
2000s,Mya,78,0.001494
2000s,Vertical Horizon,78,0.001494
2000s,Hoobastank,77,0.001475
2000s,Jaheim,77,0.001475
2000s,My Chemical Romance,76,0.001456
2000s,Five For Fighting,76,0.001456
2000s,Tyrese,76,0.001456
2000s,Seether,75,0.001437
2000s,Boys Like Girls,75,0.001437
2000s,"Missy ""Misdemeanor"" Elliott",75,0.001437
2000s,Ashlee Simpson,75,0.001437
2000s,Gavin DeGraw,74,0.001418
2000s,David Cook,73,0.001398
2000s,Dave Matthews Band,73,0.001398
2000s,Shania Twain,73,0.001398
2000s,Travis Tritt,73,0.001398
2000s,Uncle Kracker,72,0.001379
2000s,Lady Antebellum,72,0.001379
2000s,Gretchen Wilson,72,0.001379
2000s,Trey Songz,71,0.00136
2000s,Maxwell,70,0.001341
2000s,Garth Brooks,70,0.001341
2000s,Shinedown,70,0.001341
2000s,Musiq Soulchild,70,0.001341
2000s,112,69,0.001322
2000s,Jack Johnson,69,0.001322
2000s,DMX,68,0.001303
2000s,Petey Pablo,68,0.001303
2000s,Emerson Drive,68,0.001303
2000s,The Pussycat Dolls,68,0.001303
2000s,No Doubt,67,0.001284
2000s,Craig David,67,0.001284
2000s,Kings Of Leon,67,0.001284
2000s,Darius Rucker,67,0.001284
2000s,Nas,66,0.001264
2000s,Zac Brown Band,65,0.001245
2000s,Jet,65,0.001245
2000s,Pitbull,65,0.001245
2000s,Clay Walker,65,0.001245
2000s,Vanessa Carlton,65,0.001245
2000s,Breaking Benjamin,64,0.001226
2000s,Panic! At The Disco,64,0.001226
2000s,Andy Griggs,64,0.001226
2000s,Cascada,63,0.001207
2000s,Trapt,63,0.001207
2000s,Hinder,62,0.001188
